,reviews,POS tagged,Lemma,Sentiment,Analysis
0, Round trip to DCA for a wedding Both outbound and inbound flights were on Outbound flight to DCA was uneventful Smooth flight all the way to DCA ICE worked flawlessly There was plenty of legroom in Row The only negative was the bathroom could have been cleaner Inbound flight to DAL was delayed by about minutes The window seat in Row is very uncomfortable ICE worked fine on this leg too Bathrooms were cleaner On both outbound inbound flights On both flights flight crew provided friendly efficient no frills service ,"[('Round', 'r'), ('trip', 'n'), ('DCA', 'n'), ('wedding', 'n'), ('outbound', 'n'), ('inbound', 'a'), ('flights', 'n'), ('Outbound', 'n'), ('flight', 'n'), ('DCA', 'n'), ('uneventful', 'a'), ('Smooth', 'n'), ('flight', 'n'), ('way', 'n'), ('DCA', 'n'), ('ICE', 'n'), ('worked', 'v'), ('flawlessly', 'r'), ('plenty', 'n'), ('legroom', 'n'), ('Row', 'n'), ('negative', 'a'), ('bathroom', 'n'), ('could', None), ('cleaner', 'a'), ('Inbound', 'n'), ('flight', 'n'), ('DAL', 'n'), ('delayed', 'v'), ('minutes', 'n'), ('window', 'a'), ('seat', 'n'), ('Row', 'n'), ('uncomfortable', 'a'), ('ICE', 'n'), ('worked', 'v'), ('fine', 'a'), ('leg', 'n'), ('Bathrooms', 'n'), ('cleaner', 'a'), ('outbound', None), ('inbound', 'n'), ('flights', 'n'), ('flights', 'n'), ('flight', 'n'), ('crew', 'n'), ('provided', 'v'), ('friendly', 'a'), ('efficient', 'a'), ('frills', 'n'), ('service', 'n')]",  Round trip DCA wedding outbound inbound flight Outbound flight DCA uneventful Smooth flight way DCA ICE work flawlessly plenty legroom Row negative bathroom could clean Inbound flight DAL delay minute window seat Row uncomfortable ICE work fine leg Bathrooms clean outbound inbound flight flight flight crew provide friendly efficient frill service,0.6597,Positive
1, I purchased airfare for my family traveling with small children I purchased early bird seating so that they would be able to sit together I have since found out that there are boarding procedures which allow families to sit together No early bird needed It doesn t say this anywhere on the website I asked that the early bird purchase be refunded Nope sorry we don t do that I am an a list member and usually fly Southwest Not anymore I m going for Delta ,"[('purchased', 'v'), ('airfare', 'n'), ('family', 'n'), ('traveling', 'v'), ('small', 'a'), ('children', 'n'), ('purchased', 'v'), ('early', 'a'), ('bird', 'n'), ('seating', 'v'), ('would', None), ('able', 'a'), ('sit', 'v'), ('together', 'r'), ('since', None), ('found', 'v'), ('boarding', 'v'), ('procedures', 'n'), ('allow', 'v'), ('families', 'n'), ('sit', 'v'), ('together', 'r'), ('early', 'a'), ('bird', 'n'), ('needed', 'v'), ('say', 'v'), ('anywhere', 'r'), ('website', 'n'), ('asked', 'v'), ('early', 'a'), ('bird', 'n'), ('purchase', 'n'), ('refunded', 'v'), ('Nope', 'n'), ('sorry', 'n'), ('list', 'n'), ('member', 'n'), ('usually', 'r'), ('fly', 'v'), ('Southwest', 'n'), ('anymore', 'r'), ('going', 'v'), ('Delta', 'n')]",  purchase airfare family travel small child purchase early bird seat would able sit together since find board procedure allow family sit together early bird need say anywhere website ask early bird purchase refund Nope sorry list member usually fly Southwest anymore go Delta,0.2783,Neutral
2, Will never fly Southwest again after today Awful The people are rude My dog was in her carrier the whole flight when I got off the plane someone was waiting to talk to me They accused me of having the dog out of the kennel the entire flight I had a blanket on my lap and apparently thought it was the dog Not one of the flight attendants came up to me and said anything about the dog during the flight Accusing me and threatening me that they are going to have to file a report and I will not be able to fly a dog again Sounds good to me because I will never choose Southwest for my travels need again ,"[('never', 'r'), ('fly', 'v'), ('Southwest', 'n'), ('today', 'n'), ('Awful', 'n'), ('people', 'n'), ('rude', 'a'), ('dog', 'n'), ('carrier', 'n'), ('whole', 'a'), ('flight', 'n'), ('got', 'v'), ('plane', 'n'), ('someone', 'n'), ('waiting', 'v'), ('talk', 'v'), ('accused', 'v'), ('dog', 'n'), ('kennel', 'n'), ('entire', 'a'), ('flight', 'n'), ('blanket', 'n'), ('lap', 'n'), ('apparently', 'r'), ('thought', 'v'), ('dog', 'n'), ('one', None), ('flight', 'n'), ('attendants', 'n'), ('came', 'v'), ('said', 'v'), ('anything', 'n'), ('dog', 'n'), ('flight', 'n'), ('Accusing', 'n'), ('threatening', 'v'), ('going', 'v'), ('file', 'v'), ('report', 'n'), ('able', 'a'), ('fly', 'v'), ('dog', 'n'), ('Sounds', 'n'), ('good', 'a'), ('never', 'r'), ('choose', 'v'), ('Southwest', 'n'), ('travels', 'n'), ('need', 'v')]",  never fly Southwest today Awful people rude dog carrier whole flight get plane someone wait talk accuse dog kennel entire flight blanket lap apparently think dog one flight attendant come say anything dog flight Accusing threaten go file report able fly dog Sounds good never choose Southwest travel need,-0.802,Negative
3, My wife and my children traveled from Atlanta to Fort Lauderdale The staff is very disorganized in Atlanta I almost missed my flight because of them We were going from Atlanta Fort Lauderdale La Havana Cuba Nov From Fort Lauderdale La Havana Cuba the attention was excellent including the aircraft staff,"[('wife', 'n'), ('children', 'n'), ('traveled', 'v'), ('Atlanta', 'n'), ('Fort', 'n'), ('Lauderdale', 'n'), ('staff', 'n'), ('disorganized', 'v'), ('Atlanta', 'n'), ('almost', 'r'), ('missed', 'v'), ('flight', 'n'), ('going', 'v'), ('Atlanta', 'n'), ('Fort', 'n'), ('Lauderdale', 'n'), ('La', 'n'), ('Havana', 'n'), ('Cuba', 'n'), ('Nov', 'n'), ('Fort', 'n'), ('Lauderdale', 'n'), ('La', 'n'), ('Havana', 'n'), ('Cuba', 'n'), ('attention', 'n'), ('excellent', 'a'), ('including', 'v'), ('aircraft', 'n'), ('staff', 'n')]",  wife child travel Atlanta Fort Lauderdale staff disorganize Atlanta almost miss flight go Atlanta Fort Lauderdale La Havana Cuba Nov Fort Lauderdale La Havana Cuba attention excellent include aircraft staff,0.5256,Positive
4, Never again Don t fly Southwest out of Charlotte No kiosks you stand in line for an hour to get a boarding pass agents checking people in which is absurd I paid extra to board in A group only to get on the plane to find people savings seats for others that didn t pay No enforcement of that not being allowed Southwest sucks now ,"[('Never', 'r'), ('fly', 'n'), ('Southwest', 'n'), ('Charlotte', 'n'), ('kiosks', 'n'), ('stand', 'v'), ('line', 'n'), ('hour', 'n'), ('get', 'v'), ('boarding', 'n'), ('pass', 'n'), ('agents', 'n'), ('checking', 'v'), ('people', 'n'), ('absurd', 'a'), ('paid', 'v'), ('extra', 'n'), ('board', 'n'), ('group', 'n'), ('get', 'v'), ('plane', 'n'), ('find', 'v'), ('people', 'n'), ('savings', 'n'), ('seats', 'n'), ('others', 'n'), ('pay', 'n'), ('enforcement', 'n'), ('allowed', 'v'), ('Southwest', 'n'), ('sucks', 'n')]",  Never fly Southwest Charlotte kiosk stand line hour get boarding pas agent check people absurd pay extra board group get plane find people saving seat others pay enforcement allow Southwest suck,-0.4215,Negative
5, Wife has panic disorder and was forced to sit apart due to the terrible first come seats Southwest Airlines does I am flying on military orders and cannot upgrade Every other airline allows me to use my DOD ID to board but the staff taking boarding passes denied us and all wives Worst customer service ever I will never fly Southwest Airlines again no matter the cost ,"[('Wife', 'n'), ('panic', 'a'), ('disorder', 'n'), ('forced', 'v'), ('sit', 'v'), ('apart', 'r'), ('due', 'a'), ('terrible', 'a'), ('first', 'a'), ('come', 'v'), ('seats', 'n'), ('Southwest', 'n'), ('Airlines', 'n'), ('flying', 'v'), ('military', 'a'), ('orders', 'n'), ('upgrade', 'v'), ('Every', 'n'), ('airline', 'n'), ('allows', 'v'), ('use', 'v'), ('DOD', 'n'), ('ID', 'n'), ('board', 'n'), ('staff', 'n'), ('taking', 'v'), ('boarding', 'n'), ('passes', 'n'), ('denied', 'v'), ('us', None), ('wives', 'n'), ('Worst', 'n'), ('customer', 'n'), ('service', 'n'), ('ever', 'r'), ('never', 'r'), ('fly', 'v'), ('Southwest', 'n'), ('Airlines', 'n'), ('matter', 'n'), ('cost', 'n')]",  Wife panic disorder force sit apart due terrible first come seat Southwest Airlines fly military order upgrade Every airline allow use DOD ID board staff take boarding pass deny us wife Worst customer service ever never fly Southwest Airlines matter cost,-0.9274,Negative
6, We have always flown Southwest and love it my only complaint is the luggage department Every time we fly into New Orleans we always have to wait minutes for our luggage to come out When we flew in yesterday into New Orleans we waited minutes for our luggage to come out but on a totally different carousel that it listed on the board Someone is not doing their job and I will not hesitate to switch airlines on future trips ,"[('always', 'r'), ('flown', 'v'), ('Southwest', 'n'), ('love', 'v'), ('complaint', 'n'), ('luggage', 'n'), ('department', 'n'), ('Every', 'n'), ('time', 'n'), ('fly', 'v'), ('New', 'n'), ('Orleans', 'n'), ('always', 'r'), ('wait', 'v'), ('minutes', 'n'), ('luggage', 'n'), ('come', 'v'), ('flew', 'v'), ('yesterday', 'n'), ('New', 'n'), ('Orleans', 'n'), ('waited', 'v'), ('minutes', 'n'), ('luggage', 'n'), ('come', 'v'), ('totally', 'r'), ('different', 'a'), ('carousel', 'n'), ('listed', 'v'), ('board', 'n'), ('Someone', 'n'), ('job', 'n'), ('hesitate', 'v'), ('switch', 'v'), ('airlines', 'n'), ('future', 'a'), ('trips', 'n')]",  always fly Southwest love complaint luggage department Every time fly New Orleans always wait minute luggage come fly yesterday New Orleans wait minute luggage come totally different carousel list board Someone job hesitate switch airline future trip,0.2263,Neutral
7, Absolutely horrible experience After being delayed for hours the pilots said sorry folks we just don t know why They separate families even who book together so my husband and I waited in line only for the gate agent to make me go alll the way to end of line because they grouped us separately Then I get on and the seats are unassigned so there is no luggage space in the right areas and my husband got yelled at multiple times for saving a seat people from the back were coming from the front so a bunch of people had to basically sit in peoples laps for the back people who had no seats left to get by Absolutely horrible experience and so unorganized ,"[('Absolutely', 'r'), ('horrible', 'a'), ('experience', 'n'), ('delayed', 'v'), ('hours', 'n'), ('pilots', 'n'), ('said', 'v'), ('sorry', 'a'), ('folks', 'n'), ('know', 'v'), ('separate', 'v'), ('families', 'n'), ('even', 'r'), ('book', 'n'), ('together', 'r'), ('husband', 'n'), ('waited', 'v'), ('line', 'n'), ('gate', 'n'), ('agent', 'n'), ('make', 'v'), ('go', 'v'), ('alll', None), ('way', 'n'), ('end', 'v'), ('line', 'n'), ('grouped', 'v'), ('us', None), ('separately', 'r'), ('get', 'v'), ('seats', 'n'), ('unassigned', 'v'), ('luggage', 'a'), ('space', 'n'), ('right', 'a'), ('areas', 'n'), ('husband', 'n'), ('got', 'v'), ('yelled', 'v'), ('multiple', 'a'), ('times', 'n'), ('saving', 'v'), ('seat', 'n'), ('people', 'n'), ('back', 'n'), ('coming', 'v'), ('front', 'n'), ('bunch', 'n'), ('people', 'n'), ('basically', 'r'), ('sit', 'v'), ('peoples', 'n'), ('laps', 'n'), ('back', 'a'), ('people', 'n'), ('seats', 'n'), ('left', 'v'), ('get', 'v'), ('Absolutely', 'r'), ('horrible', 'a'), ('experience', 'n'), ('unorganized', 'a')]",  Absolutely horrible experience delay hour pilot say sorry folk know separate family even book together husband wait line gate agent make go alll way end line group us separately get seat unassigned luggage space right area husband get yell multiple time save seat people back come front bunch people basically sit people lap back people seat leave get Absolutely horrible experience unorganized,-0.8151,Negative
8, Southwest used to be the best value in the skies Additionally they had the friendliest employees Neither of which is true anymore I made A Preferred and have miles so it s not that I haven t given them a fair shot The attendants who used to be warm and friendly and make the standard safety messages amusing have transformed into a surly bunch who spend most of the flight on their phones I know it s a tough job and the number of crazies have gone way up but when your plane staff is worse than United and can t hold a candle to Delta it says something ,"[('Southwest', 'n'), ('used', 'v'), ('best', 'a'), ('value', 'n'), ('skies', 'n'), ('Additionally', 'n'), ('friendliest', 'a'), ('employees', 'n'), ('Neither', 'n'), ('true', 'a'), ('anymore', 'r'), ('made', 'v'), ('Preferred', 'n'), ('miles', 'n'), ('given', 'v'), ('fair', 'a'), ('shot', 'n'), ('attendants', 'n'), ('used', 'v'), ('warm', 'a'), ('friendly', 'a'), ('make', 'v'), ('standard', 'a'), ('safety', 'n'), ('messages', 'n'), ('amusing', 'v'), ('transformed', 'v'), ('surly', 'a'), ('bunch', 'n'), ('spend', 'v'), ('flight', 'n'), ('phones', 'n'), ('know', 'v'), ('tough', 'a'), ('job', 'n'), ('number', 'n'), ('crazies', 'n'), ('gone', 'v'), ('way', 'n'), ('plane', 'n'), ('staff', 'n'), ('worse', 'a'), ('United', 'n'), ('hold', 'v'), ('candle', 'n'), ('Delta', 'v'), ('says', 'v'), ('something', 'n')]",  Southwest use best value sky Additionally friendly employee Neither true anymore make Preferred mile give fair shot attendant use warm friendly make standard safety message amuse transform surly bunch spend flight phone know tough job number crazy go way plane staff bad United hold candle Delta say something,0.9439,Positive
9, We have been flying with Southwest for years and are always pleased The in flight service is excellent the snacks are better than most airlines seats are comfortable and our flights have always been on time ,"[('flying', 'v'), ('Southwest', 'n'), ('years', 'n'), ('always', 'r'), ('pleased', 'v'), ('flight', 'n'), ('service', 'n'), ('excellent', 'a'), ('snacks', 'n'), ('better', 'a'), ('airlines', 'n'), ('seats', 'n'), ('comfortable', 'a'), ('flights', 'n'), ('always', 'r'), ('time', 'n')]",  fly Southwest year always please flight service excellent snack good airline seat comfortable flight always time,0.9042,Positive
