,reviews
0,"✅ Trip Verified |   Round trip to DCA for a wedding. Both outbound and inbound flights were on 737-700. Outbound flight to DCA was uneventful. Smooth flight all the way to DCA. ICE worked flawlessly. There was plenty of legroom in Row 1. The only negative was the bathroom could have been cleaner. Inbound flight to DAL was delayed by about 25 minutes. The window seat in Row 1 is very uncomfortable. ICE worked fine on this leg too. Bathrooms were cleaner. On both outbound/inbound flights. On both flights, flight crew provided friendly, efficient no-frills service."
1,"Not Verified |   I purchased airfare for my family traveling with small children. I purchased early bird seating so that they would be able to sit together. I have since found out that there are boarding procedures which allow families to sit together. No early bird needed. It doesn't say this anywhere on the website. I asked that the early bird purchase be refunded. Nope, sorry, we don't do that. I am an a-list member and usually fly Southwest. Not anymore. I'm going for Delta."
2,"✅ Trip Verified |  Will never fly Southwest again after today. Awful! The people are rude. My dog was in her carrier the whole flight, when I got off the plane someone was waiting to talk to me. They accused me of having the dog out of the kennel the entire flight. I had a blanket on my lap and apparently thought it was the dog. Not one of the flight attendants came up to me and said anything about the dog during the flight. Accusing me and threatening me that they are going to have to file a report and I will not be able to fly a dog again. Sounds good to me because I will never choose Southwest for my travels need again."
3,✅ Trip Verified |  My wife and my 3 children traveled from Atlanta to Fort Lauderdale. The staff is very disorganized in Atlanta. I almost missed my flight because of them. We were going from Atlanta-Fort. Lauderdale-La Havana. Cuba. Nov 13. From Fort Lauderdale-La Havana. Cuba the attention was excellent including the aircraft staff
4,"Not Verified |  Never again! Don't fly Southwest out of Charlotte. No kiosks, you stand in line for an hour to get a boarding pass. 2 agents checking people in, which is absurd. I paid extra to board in A group, only to get on the plane to find people savings seats for others that didn't pay. No enforcement of that not being allowed.  Southwest sucks now."
5,"✅ Trip Verified |  Wife has panic disorder and was forced to sit apart due to the terrible first come seats Southwest Airlines does. I am flying on military orders and cannot upgrade. Every other airline allows me to use my DOD ID to board, but the staff taking boarding passes denied us and all wives. Worst customer service ever! I will never fly Southwest Airlines again no matter the cost."
6,"Not Verified |  We have always flown Southwest and love it, my only complaint is the luggage department. Every time we fly into New Orleans, we always have to wait 15-30 minutes for our luggage to come out. When we flew in yesterday into New Orleans, we waited 25 minutes for our luggage to come out but on a totally different carousel that it listed on the board. Someone is not doing their job, and I will not hesitate to switch airlines on future trips."
7,"Not Verified |   Absolutely horrible experience. After being delayed for 3 hours, the pilots said “sorry folks, we just don’t know why!” They separate families even who book together so my husband and I waited in line only for the gate agent to make me go alll the way to end of line because they grouped us separately…. Then I get on and the seats are unassigned so there is no luggage space in the right areas and my husband got yelled at multiple times for saving a seat - people from the back were coming from the front so a bunch of people had to basically sit in peoples laps for the back people who had no seats left to get by. Absolutely horrible experience and so unorganized."
8,"✅ Trip Verified | Southwest used to be the best value in the skies. Additionally, they had the friendliest employees. Neither of which is true anymore. I made A-Preferred and have 950,000+ miles, so it's not that I haven't given them a fair shot. The attendants who used to be warm and friendly, and make the standard safety messages amusing, have transformed into a surly bunch, who spend most of the flight on their phones I know it's a tough job and the number of crazies have gone way up, but when your plane staff is worse than United (and can't hold a candle to Delta) it says something."
9,"Not Verified |  We have been flying with Southwest for years, and are always pleased. The in flight service is excellent, the snacks are better than most airlines, seats are comfortable, and our flights have always been on time."
10,"Not Verified |  I flew a few times in the past and I was very happy till 2 days ago. From LAX to Oakland and it was just fine. Flying from OAK to Bellingham, we were assigned to term, 31. Kept on waiting for an hour. Noticed nobody showed up. I asked told me it was moved to term 25 which was quite a long walk. When we arrived ended up at the end of the line. They changed the plane and did not bother to inform us. The plane old with a very uncomfortable seat. E ded up near restroom. Open seating was a bad idea. I will not fly Southwest again."
11,✅ Trip Verified | Horrible. 3 hr delay. Arrived at 2 am TPA. No meal vouchers. Tracked this plane all day #1842 SWA. Den. Columbus. Dulles. Midway. KCI. On time all day long. Plane arrives in KC but wait now the TPA plane is in Long Beach 3 hrs away what happened Southwest? You found out you could fill a plane by delaying passengers 3 hrs? Your gate agents lie! Weather Nope. Control tower nope. Called them out and proved wrong. Oh yeah. Got a $100 voucher on a future delayed flight. Cost me that much in airport meals for 3 hrs. Checked into my TPA hotel at 3 am. Why bother when breakfast was served at 6 am. Not the old Herb Keller airline it used to be. Pay the extra and fly with an airline with an upgraded logistics. Terrible service.
12,"✅ Trip Verified |   The employees were rude when I was confused about checking in my bag after getting an earlier flight, even though the confusion was due to what they told me. They can't even be kind to people for one simple mistake."
